words,sentiment_coeff
the,0.956277369160358
and,0.964932824956868
i,0.9172406735194785
a,0.9292038342953423
to,-0.8931861989723258
was,0.9576925374557473
it,0.9507452748005528
of,0.9810197408873836
is,0.947611305133934
!,0.9765995977087435
for,0.8978708609611334
in,-0.9261636668767445
we,0.8860928278216307
that,0.9089145255190684
my,0.9409470370981314
with,1.0220198884583251
but,0.9423302607006322
they,0.9030585267313517
this,-0.9134369709351798
you,0.9008086114248798
on,0.9290202375130356
had,0.9859918344494891
have,0.9093103193388259
not,0.9211050255940809
were,0.9463739456618001
s,0.935621897643444
so,0.9065547344734838
food,0.9399333070902806
are,0.9479556933863564
good,1.0221766789126077
place,0.8909423442102302
great,0.9662199133719084
at,-0.9019079713949786
be,0.880249307434529
as,0.9495951586910001
very,0.9531122621563469
there,-0.882484168642093
all,0.9551964378408954
here,0.8915159262645049
if,0.8838982981511367
me,-0.9115000402566364
our,0.8820547838635514
out,0.8871265547003959
just,0.9370759088549482
one,0.9171415625877049
like,0.9911922881987033
get,0.8810969236253308
service,0.8962627983410013
their,0.9642123733176856
time,-0.8812091701239948
from,-0.9550058738049673
would,0.8895730293457204
when,-0.8827574649977714
can,0.9168464907084504
or,0.9173551319479964
go,0.8883332345378481
really,0.9629317516798798
which,1.0270742604442769
back,-0.8855529432871131
will,0.8964601019822537
also,1.0328288035555555
about,-0.8848006103265912
what,0.9077856086720367
some,0.9776472515101624
she,-0.9006578821801645
he,-0.9109960312266995
an,0.9376046073841797
nice,0.9372157994368726
got,0.9604775855179126
up,-0.9077154237193895
best,1.0141738937643272
only,0.8980454209874204
us,-0.8743583111564003
because,0.8816579683729985
them,0.9045881973709404
your,-0.9130034255850747
no,0.9033964191499467
been,0.9053981969092467
more,0.9505668747634792
don_t,0.9059867738128858
?,0.9384222429848441
staff,-0.9036115814486111
too,0.9941049540411123
ordered,1.0312036904098765
well,0.9865428076919892
other,0.9243413815458222
love,1.0083912000163107
delicious,1.141912852005569
has,-0.947531589985366
m,0.9242215789560697
always,0.9144923331541279
order,0.9241014047554285
do,-0.9099406661588175
restaurant,0.8965030202649177
friendly,0.9023916492795566
by,-0.9306987834145217
even,0.8977129591184456
after,-0.9044703168266772
came,0.931627456293174
definitely,0.9594591156037963
little,0.9794876529477714
did,0.9018210704382
first,-0.9032971849187373
try,0.9646480023089046
didn_t,0.9005227024819742
menu,0.9778906915582992
went,-0.8952900435966639
could,0.9085157048287632
amazing,1.0459234106475779
much,0.9588941804517066
never,-0.8794792930905168
people,-0.9029962746682128
again,0.9059716993603409
ve,0.9635934278608048
made,0.95980545454345
over,0.9186330887428354
experience,-0.9205722540392581
pretty,0.9674449985310696
wait,0.859752193489423
bar,0.8978215412780965
then,0.9055766703450396
two,0.9381892548567092
way,0.9170940837169584
her,-0.9285386753066062
going,-0.9149103912991232
day,-0.9231208324610735
how,0.8987578167617447
know,-0.9083328123827689
chicken,1.1249525864147132
fresh,1.102905474909951
pizza,0.9811676643054266
re,0.9055396264149371
make,0.915952421776746
before,-0.8837913183471757
while,-0.8872068538028309
eat,0.9636879403780432
everything,0.9794541819601004
want,0.893066229835914
said,0.8997390026263783
off,0.9238061568165734
area,-0.9473632530590074
think,0.9483970896423388
any,0.9095353417844081
t,0.9396162704284103
who,-0.9414922912765258
take,-0.8837497928458236
still,0.9040832749034042
2,0.9316490065338738
am,-0.9163312880408038
better,0.9413281007646821
table,0.8905229165275313
come,0.8874607283808845
right,0.9129388510458094
new,-0.9688939741956568
meal,0.9844440482804704
say,0.9239799831480072
small,0.9623088485609506
lunch,0.9421576833008872
now,-0.9371078369568611
both,1.0304514545564902
give,0.8968586844989808
around,-0.913027854103919
see,-0.9519575420310443
took,-0.8840859025744772
ll,0.9063339827842862
excellent,1.027586512826442
dinner,0.9399570034462735
awesome,1.0031982940029063
wasn_t,0.9290106501913963
since,-0.8994378116300027
room,-0.9581633291694097
find,-0.9212562749643897
cheese,1.105556681985183
location,-0.9479105576672012
3,0.9385550627096096
bad,0.9111779983298803
every,0.9097157048019067
something,0.9382362737986236
drinks,0.9138378349346049
bit,0.9760297819823597
most,0.956355111931058
asked,0.8964057970952305
tried,1.015848242913216
another,-0.8822461385378055
many,0.9158073560034019
atmosphere,0.9431434088856138
work,-0.9764331413858051
sauce,1.1439261798353972
sure,0.9020366964491737
being,-0.9024560862167185
favorite,1.0566974462552188
where,-0.9459808519160483
price,0.9348214335792852
worth,0.9403434039463169
ever,0.9570442138100169
lot,0.9231901841639693
clean,-0.9262257027941622
told,-0.8999505893199581
few,0.9128955475186326
long,-0.8728018459888496
breakfast,0.9518739347751176
d,0.921899068374162
coffee,0.950931147644841
recommend,0.943405822880904
5,0.9143011048999095
home,0.9487121733503112
side,1.0412209474329275
down,-0.9319582989778947
night,-0.9132007941967806
salad,1.0983561919797036
wanted,0.8948815344179025
visit,-0.9051473273440416
burger,1.0303012918383043
his,-0.9302906016765478
prices,0.931008056853452
enough,0.9530524956662147
should,0.90473164852356
things,0.9198128338814692
thing,0.9626448172344445
need,-0.9259190702299621
fries,1.0515831276514773
hot,1.045523407043174
into,-0.9612285560096063
beer,0.9523103607577733
tasty,1.151451895902623
check,-0.9044356548878438
feel,-0.9339608646811113
spot,0.9429069622986049
perfect,1.0382375460846376
though,0.9733433416402721
drink,0.9243340148407504
places,0.9391173899291185
sandwich,1.0543614543199855
however,0.9248714297259643
found,-0.9360762774065692
super,0.9711386355424171
taste,1.1030832140817817
different,0.9499972603613571
hotel,-0.986700880439839
flavor,1.1444281626124622
than,0.9419547425112312
friends,0.9091196766321126
overall,0.9436648760722646
loved,1.0421002276860138
next,-0.9104200772712452
its,0.9454851173792072
once,-0.8763582175910914
4,0.9360747550353097
friend,0.9725067848048182
left,-0.8907284585848372
sushi,0.9403933426428885
ok,0.9717123865232986
quality,0.9587356538590571
kind,0.9393132593138094
full,0.9497771675988792
wonderful,0.9957860200427171
looking,-0.9376163302961165
big,0.9728895937749275
each,0.9534947337510195
shrimp,1.1102466852474484
fun,-0.9392664027156541
sweet,1.0831680395827437
same,0.9184534817929485
selection,0.9802245788713725
last,0.913026273849217
actually,0.9288613342277884
store,-0.9896713269789995
nothing,0.933449414010035
happy,0.9099521490925235
waitress,0.9075707760638506
done,0.9123670624367605
enjoyed,1.0289881335557063
everyone,-0.8899612165515584
busy,-0.8552573637917453
meat,1.088684500041364
probably,0.9388970117851365
ask,0.8987830322839956
let,-0.8973730330149082
thought,0.9582331371588807
dish,1.10469268874629
times,-0.8824783006794754
ve_been,-0.9109219589967661
inside,0.9266098574275882
maybe,0.9311250648565985
fantastic,1.0375329829874318
anything,0.9142344801334003
plus,0.9601383775768938
town,-0.9264634123306649
quite,0.9781405628411421
special,1.03363598871093
decided,0.9016058852543023
years,-0.9727300770153188
disappointed,0.9518237667424274
getting,-0.8849869558151663
top,1.0233724006213938
used,0.9661432938689002
enjoy,0.9385343121304873
half,0.9514430768974985
my_husband,0.9864105240999769
called,-0.9357446936673252
served,1.061093060404598
put,0.9239976334552304
look,-0.9500808774179572
these,0.9978096004338115
family,-0.9228796019833495
usually,0.937953441904384
such,0.9429819567641524
car,-0.9912245607094652
fast,0.9160406164897522
looked,0.9478859190246398
helpful,-0.9217514669656227
items,0.9680925565363689
wine,0.9433896156092432
those,0.9693606913149008
free,-0.9115910470927435
large,0.991575921771607
quick,0.8938915673315753
during,-0.9193411422455079
1,0.9321747611485156
why,0.8917612500121481
stop,-0.9107457550722441
house,0.9949054555578508
tasted,1.1020053135045116
review,-0.9323262285296465
outside,0.9070911985597782
use,0.9353056519225683
huge,1.0014224999850645
options,0.9743195945188501
hard,0.9464465719824161
absolutely,0.9971866498225627
dishes,1.039562792121525
almost,0.9326447559160747
having,-0.918625491633829
line,-0.9026253109828122
waiting,-0.8849584565857993
business,-0.9853046490672481
decent,0.9651137887477655
couple,0.9022627643012939
bread,1.074510054015858
tables,-0.879393673516949
especially,0.9670818333253625
manager,-0.9103873259231456
cool,-0.9435968377353515
spicy,1.1168361890229472
wife,0.9936276166995825
10,0.9163232848696047
without,0.9192109159196896
couldn_t,0.9243781777359279
him,-0.9394194300749013
eating,0.9617368362838481
open,-0.9330999922226703
able,-0.9084271336035177
highly_recommend,0.9689850444245875
steak,1.0514204366168205
owner,-0.9344725164157696
through,-0.9654884782657674
tell,0.8906772897056574
finally,-0.8826729958279376
needed,-0.9136452383482031
server,0.9071235345231031
local,-0.9561878692083774
customer_service,-0.946013226831303
job,-0.9540651220983402
stay,-0.9574976020194108
trying,-0.8919966168021896
water,0.9233630916868029
money,-0.9219129642646574
week,-0.9102947396598597
old,-0.9803416288767253
cold,0.9732656593198707
gave,0.90961933389017
seemed,0.9096842143805364
fish,1.07388572633677
today,0.9122133349656539
close,-0.9171137844118169
return,0.8927077592423098
makes,0.9413635695189383
care,-0.9250285498950818
attentive,0.9271544948477479
wrong,0.9321949636913954
won_t,0.9022363450921254
come_back,0.8984615086828347
restaurants,0.9359119614321332
brought,0.9342181929397594
may,-0.9075417079600673
rice,1.0815975509882112
dessert,1.0285634283230976
wish,0.9573476517506584
three,0.9583162106493581
walk,-0.954577955698829
bring,0.8939997787108628
pay,-0.9000733161687265
point,0.9058540514951742
city,-0.9731539060383079
at_least,0.8858587360763566
waiter,0.9171389054433449
beautiful,-0.9838864315031329
soup,1.0634477289452537
must,0.9620186079998682
cooked,1.0657945959080855
away,-0.925230847509735
arrived,0.8914903420092732
second,0.932682870588192
tacos,1.0300545954595752
does,-0.9275612760898845
